,FIPS,Admin2,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,county-state
1001,01001,Autauga,Alabama,32.53952745,-86.64408227,104,4,0,100,"Autauga county,Alabama"
1003,01003,Baldwin,Alabama,30.72774991,-87.72207058,243,8,0,235,"Baldwin county,Alabama"
1005,01005,Barbour,Alabama,31.868263,-85.3871286,74,1,0,73,"Barbour county,Alabama"
1007,01007,Bibb,Alabama,32.99642064,-87.1251146,46,1,0,45,"Bibb county,Alabama"
1009,01009,Blount,Alabama,33.98210918,-86.56790593,45,0,0,45,"Blount county,Alabama"
1011,01011,Bullock,Alabama,32.10030533,-85.71265535,28,1,0,27,"Bullock county,Alabama"
1013,01013,Butler,Alabama,31.75300095,-86.68057478,249,8,0,241,"Butler county,Alabama"
1015,01015,Calhoun,Alabama,33.77483727,-85.82630386,128,3,0,125,"Calhoun county,Alabama"
1017,01017,Chambers,Alabama,32.91360079,-85.39072749,326,22,0,304,"Chambers county,Alabama"
1019,01019,Cherokee,Alabama,34.17805983,-85.60638968,25,0,0,25,"Cherokee county,Alabama"
1021,01021,Chilton,Alabama,32.85044126,-86.7173256,74,1,0,73,"Chilton county,Alabama"
1023,01023,Choctaw,Alabama,32.02227341,-88.2656443,77,3,0,74,"Choctaw county,Alabama"
1025,01025,Clarke,Alabama,31.68099859,-87.83548597,68,2,0,66,"Clarke county,Alabama"
1027,01027,Clay,Alabama,33.26984193,-85.85836077,27,2,0,25,"Clay county,Alabama"
1029,01029,Cleburne,Alabama,33.67679204,-85.52005899,13,1,0,12,"Cleburne county,Alabama"
1031,01031,Coffee,Alabama,31.39932826,-85.98901039,159,1,0,158,"Coffee county,Alabama"
1033,01033,Colbert,Alabama,34.69847452,-87.80168544,79,2,0,77,"Colbert county,Alabama"
1035,01035,Conecuh,Alabama,31.43401703,-86.99320044,17,0,0,17,"Conecuh county,Alabama"
1037,01037,Coosa,Alabama,32.93690146,-86.24847739,34,1,0,33,"Coosa county,Alabama"
1039,01039,Covington,Alabama,31.2477854,-86.45050893,56,1,0,55,"Covington county,Alabama"
1041,01041,Crenshaw,Alabama,31.72941803,-86.31593104,50,1,0,49,"Crenshaw county,Alabama"
1043,01043,Cullman,Alabama,34.13020303,-86.86888037,67,0,0,67,"Cullman county,Alabama"
1045,01045,Dale,Alabama,31.43037123,-85.61095742,53,0,0,53,"Dale county,Alabama"
1047,01047,Dallas,Alabama,32.32688101,-87.1086671,132,3,0,129,"Dallas county,Alabama"
1049,01049,DeKalb,Alabama,34.45946862,-85.80782906,185,2,0,183,"DeKalb county,Alabama"
1051,01051,Elmore,Alabama,32.59785413,-86.14415284,169,6,0,163,"Elmore county,Alabama"
1053,01053,Escambia,Alabama,31.1256789,-87.15918694,39,3,0,36,"Escambia county,Alabama"
1055,01055,Etowah,Alabama,34.04567266,-86.04051873,198,10,0,188,"Etowah county,Alabama"
1057,01057,Fayette,Alabama,33.72076938,-87.73886638,10,0,0,10,"Fayette county,Alabama"
1059,01059,Franklin,Alabama,34.44235334,-87.84289505,288,3,0,285,"Franklin county,Alabama"
1061,01061,Geneva,Alabama,31.09389027,-85.83572839,18,0,0,18,"Geneva county,Alabama"
1063,01063,Greene,Alabama,32.85504247,-87.95684022,76,4,0,72,"Greene county,Alabama"
1065,01065,Hale,Alabama,32.76039258,-87.63284988,79,2,0,77,"Hale county,Alabama"
1067,01067,Henry,Alabama,31.51148016,-85.24267944,35,1,0,34,"Henry county,Alabama"
